"Y1","CM1(1,1,3)"
"Z59310","IsotConj(X27568)"
"Z59311","IsotConj(X27570)"
"Z59312","IsotConj(X27571)"
"Z59313","IsotConj(X27572)"
"Z59314","IsotConj(X27573)"
"Z59315","IsotConj(X27574)"
"Z59316","IsotConj(X27575)"
"Z59317","IsotConj(X27576)"
"Z59318","IsotConj(X27577)"
"Z59319","IsotConj(X27578)"
"Z59320","IsotConj(X27579)"
"Z59321","IsotConj(X27580)"
"Z59322","IsotConj(X27581)"
"Z59323","IsotConj(X27582)"
"Z59324","IsotConj(X27583)"
"Z59325","IsotConj(X27584)"
"Z59326","IsotConj(X27585)"
"Z59327","IsotConj(X27586)"
"Z59328","IsotConj(X27587)"
"Z59329","IsotConj(X27588)"
"Z59330","IsotConj(X27589)"
"Z59331","IsotConj(X27590)"
"Z59332","IsotConj(X27591)"
"Z59333","IsotConj(X27592)"
"Z59334","IsotConj(X27593)"
"Z59335","IsotConj(X27594)"
"Z59336","IsotConj(X27595)"
"Z59337","IsotConj(X27596)"
"Z59338","IsotConj(X27597)"
"Z59339","IsotConj(X27598)"
"Z59340","IsotConj(X27599)"
"Z59341","IsotConj(X27600)"
"Z59342","IsotConj(X27601)"
"Z59343","IsotConj(X27602)"
"Z59344","IsotConj(X27603)"
"Z59345","IsotConj(X27604)"
"Z59346","IsotConj(X27605)"
"Z59347","IsotConj(X27606)"
"Z59348","IsotConj(X27607)"
"Z59349","IsotConj(X27608)"
"Z59350","IsotConj(X27609)"
"Z59351","IsotConj(X27610)"
"Z59352","IsotConj(X27611)"
"Z59353","IsotConj(X27612)"
"Z59354","IsotConj(X27613)"
"Z59355","IsotConj(X27614)"
"Z59356","IsotConj(X27615)"
"Z59357","IsotConj(X27616)"
"Z59358","IsotConj(X27617)"
"Z59359","IsotConj(X27618)"
"Z59360","IsotConj(X27619)"
"Z59361","IsotConj(X27620)"
"Z59362","IsotConj(X27621)"
"Z59363","IsotConj(X27622)"
"Z59364","IsotConj(X27623)"
"Z59365","IsotConj(X27624)"
"Z59366","IsotConj(X27625)"
"Z59367","IsotConj(X27626)"
"Z59368","IsotConj(X27627)"
"Z59369","IsotConj(X27628)"
"Z59370","IsotConj(X27629)"
"Z59371","IsotConj(X27630)"
"Z59372","IsotConj(X27631)"
"Z59373","IsotConj(X27632)"
"Z59374","IsotConj(X27633)"
"Z59375","IsotConj(X27634)"
"Z59376","IsotConj(X27635)"
"Z59377","IsotConj(X27636)"
"Z59378","IsotConj(X27637)"
"Z59379","IsotConj(X27638)"
"Z59380","IsotConj(X27639)"
"Z59381","IsotConj(X27640)"
"Z59382","IsotConj(X27641)"
"Z59383","IsotConj(X27642)"
"Z59384","IsotConj(X27643)"
"Z59385","IsotConj(X27644)"
"Z59386","IsotConj(X27645)"
"Z59387","IsotConj(X27646)"
"Z59388","IsotConj(X27647)"
"Z59389","IsotConj(X27648)"
"Z59390","IsotConj(X27649)"
"Z59391","IsotConj(X27650)"
"Z59392","IsotConj(X27651)"
"Z59393","IsotConj(X27652)"
"Z59394","IsotConj(X27653)"
"Z59395","IsotConj(X27654)"
"Z59396","IsotConj(X27655)"
"Z59397","IsotConj(X27656)"
"Z59398","IsotConj(X27657)"
"Z59399","IsotConj(X27658)"
"Z59400","IsotConj(X27659)"
"Z59401","IsotConj(X27660)"
"Z59402","IsotConj(X27661)"
"Z59403","IsotConj(X27662)"
"Z59404","IsotConj(X27663)"
"Z59405","IsotConj(X27664)"
"Z59406","IsotConj(X27665)"
"Z59407","IsotConj(X27666)"
"Z59408","IsotConj(X27667)"
"Z59409","IsotConj(X27668)"
"Z59410","IsotConj(X27669)"
"Z59411","IsotConj(X27670)"
"Z59412","IsotConj(X27671)"
"Z59413","IsotConj(X27672)"
"Z59414","IsotConj(X27673)"
"Z59415","IsotConj(X27674)"
"Z59416","IsotConj(X27675)"
"Z59417","IsotConj(X27676)"
"Z59418","IsotConj(X27677)"
"Z59419","IsotConj(X27678)"
"Z59420","IsotConj(X27679)"
"Z59421","IsotConj(X27680)"
"Z59422","IsotConj(X27681)"
"Z59423","IsotConj(X27682)"
"Z59424","IsotConj(X27683)"
"Z59425","IsotConj(X27684)"
"Z59426","IsotConj(X27685)"
"Z59427","IsotConj(X27686)"
"Z59428","IsotConj(X27687)"
"Z59429","IsotConj(X27688)"
"Z59430","IsotConj(X27689)"
"Z59431","IsotConj(X27690)"
"Z59432","IsotConj(X27691)"
"Z59433","IsotConj(X27692)"
"Z59434","IsotConj(X27693)"
"Z59435","IsotConj(X27694)"
"Z59436","IsotConj(X27695)"
"Z59437","IsotConj(X27696)"
"Z59438","IsotConj(X27697)"
"Z59439","IsotConj(X27698)"
"Z59440","IsotConj(X27699)"
"Z59441","IsotConj(X27700)"
"Z59442","IsotConj(X27701)"
"Z59443","IsotConj(X27702)"
"Z59444","IsotConj(X27703)"
"Z59445","IsotConj(X27704)"
"Z59446","IsotConj(X27705)"
"Z59447","IsotConj(X27706)"
"Z59448","IsotConj(X27707)"
"Z59449","IsotConj(X27708)"
"Z59450","IsotConj(X27709)"
"Z59451","IsotConj(X27710)"
"Z59452","IsotConj(X27711)"
"Z59453","IsotConj(X27712)"
"Z59454","IsotConj(X27713)"
"Z59455","IsotConj(X27714)"
"Z59456","IsotConj(X27715)"
"Z59457","IsotConj(X27716)"
"Z59458","IsotConj(X27717)"
"Z59459","IsotConj(X27718)"
"Z59460","IsotConj(X27719)"
"Z59461","IsotConj(X27720)"
"Z59462","IsotConj(X27721)"
"Z59463","IsotConj(X27722)"
"Z59464","IsotConj(X27723)"
"Z59465","IsotConj(X27724)"
"Z59466","IsotConj(X27725)"
"Z59467","IsotConj(X27726)"
"Z59468","IsotConj(X27727)"
"Z59469","IsotConj(X27728)"
"Z59470","IsotConj(X27729)"
"Z59471","IsotConj(X27730)"
"Z59472","IsotConj(X27731)"
"Z59473","IsotConj(X27732)"
"Z59474","IsotConj(X27733)"
"Z59475","IsotConj(X27734)"
"Z59476","IsotConj(X27735)"
"Z59477","IsotConj(X27736)"
"Z59478","IsotConj(X27737)"
"Z59479","IsotConj(X27738)"
"Z59480","IsotConj(X27739)"
"Z59481","IsotConj(X27740)"
"Z59482","IsotConj(X27741)"
"Z59483","IsotConj(X27742)"
"Z59484","IsotConj(X27743)"
"Z59485","IsotConj(X27744)"
"Z59486","IsotConj(X27745)"
"Z59487","IsotConj(X27746)"
"Z59488","IsotConj(X27747)"
"Z59489","IsotConj(X27748)"
"Z59490","IsotConj(X27749)"
"Z59491","IsotConj(X27750)"
"Z59492","IsotConj(X27751)"
"Z59493","IsotConj(X27752)"
"Z59494","IsotConj(X27753)"
"Z59495","IsotConj(X27754)"
"Z59496","IsotConj(X27755)"
"Z59497","IsotConj(X27756)"
"Z59498","IsotConj(X27757)"
"Z59499","IsotConj(X27758)"
"Z59500","IsotConj(X27759)"
"Z59501","IsotConj(X27760)"
"Z59502","IsotConj(X27761)"
"Z59503","IsotConj(X27762)"
"Z59504","IsotConj(X27763)"
"Z59505","IsotConj(X27764)"
"Z59506","IsotConj(X27765)"
"Z59507","IsotConj(X27766)"
"Z59508","IsotConj(X27767)"
"Z59509","IsotConj(X27768)"
"Z59510","IsotConj(X27769)"
"Z59511","IsotConj(X27770)"
"Z59512","IsotConj(X27771)"
"Z59513","IsotConj(X27772)"
"Z59514","IsotConj(X27773)"
"Z59515","IsotConj(X27774)"
"Z59516","IsotConj(X27775)"
"Z59517","IsotConj(X27776)"
"Z59518","IsotConj(X27777)"
"Z59519","IsotConj(X27778)"
"Z59520","IsotConj(X27779)"
"Z59521","IsotConj(X27780)"
"Z59522","IsotConj(X27782)"
"Z59523","IsotConj(X27783)"
"Z59524","IsotConj(X27784)"
"Z59525","IsotConj(X27785)"
"Z59526","IsotConj(X27786)"
"Z59527","IsotConj(X27787)"
"Z59528","IsotConj(X27788)"
"Z59529","IsotConj(X27789)"
"Z59530","IsotConj(X27790)"
"Z59531","IsotConj(X27791)"
"Z59532","IsotConj(X27792)"
"Z59533","IsotConj(X27793)"
"Z59534","IsotConj(X27794)"
"Z59535","IsotConj(X27795)"
"Z59536","IsotConj(X27796)"
"Z59537","IsotConj(X27798)"
"Z59538","IsotConj(X27799)"
"Z59539","IsotConj(X27800)"
"Z59540","IsotConj(X27802)"
"Z59541","IsotConj(X27803)"
"Z59542","IsotConj(X27804)"
"Z59543","IsotConj(X27806)"
"Z59544","IsotConj(X27809)"
"Z59545","IsotConj(X27810)"
"Z59546","IsotConj(X27811)"
"Z59547","IsotConj(X27812)"
"Z59548","IsotConj(X27813)"
"Z59549","IsotConj(X27814)"
"Z59550","IsotConj(X27815)"
"Z59551","IsotConj(X27816)"
"Z59552","IsotConj(X27817)"
"Z59553","IsotConj(X27819)"
"Z59554","IsotConj(X27820)"
"Z59555","IsotConj(X27821)"
"Z59556","IsotConj(X27822)"
"Z59557","IsotConj(X27823)"
"Z59558","IsotConj(X27824)"
"Z59559","IsotConj(X27825)"
"Z59560","IsotConj(X27826)"
"Z59561","IsotConj(X27827)"
"Z59562","IsotConj(X27829)"
"Z59563","IsotConj(X27830)"
"Z59564","IsotConj(X27831)"
"Z59565","IsotConj(X27832)"
"Z59566","IsotConj(X27833)"
"Z59567","IsotConj(X27836)"
"Z59568","IsotConj(X27837)"
"Z59569","IsotConj(X27838)"
"Z59570","IsotConj(X27839)"
"Z59571","IsotConj(X27840)"
"Z59572","IsotConj(X27841)"
"Z59573","IsotConj(X27842)"
"Z59574","IsotConj(X27843)"
"Z59575","IsotConj(X27844)"
"Z59576","IsotConj(X27845)"
"Z59577","IsotConj(X27846)"
"Z59578","IsotConj(X27847)"
"Z59579","IsotConj(X27848)"
"Z59580","IsotConj(X27849)"
"Z59581","IsotConj(X27850)"
"Z59582","IsotConj(X27851)"
"Z59583","IsotConj(X27852)"
"Z59584","IsotConj(X27854)"
"Z59585","IsotConj(X27855)"
"Z59586","IsotConj(X27856)"
"Z59587","IsotConj(X27857)"
"Z59588","IsotConj(X27858)"
"Z59589","IsotConj(X27859)"
"Z59590","IsotConj(X27860)"
"Z59591","IsotConj(X27861)"
"Z59592","IsotConj(X27862)"
"Z59593","IsotConj(X27863)"
"Z59594","IsotConj(X27864)"
"Z59595","IsotConj(X27865)"
"Z59596","IsotConj(X27866)"
"Z59597","IsotConj(X27868)"
"Z59598","IsotConj(X27869)"
"Z59599","IsotConj(X27870)"
"Z59600","IsotConj(X27871)"
"Z59601","IsotConj(X27872)"
"Z59602","IsotConj(X27873)"
"Z59603","IsotConj(X27874)"
"Z59604","IsotConj(X27875)"
"Z59605","IsotConj(X27876)"
"Z59606","IsotConj(X27877)"
"Z59607","IsotConj(X27878)"
"Z59608","IsotConj(X27879)"
"Z59609","IsotConj(X27880)"
"Z59610","IsotConj(X27881)"
"Z59611","IsotConj(X27882)"
"Z59612","IsotConj(X27883)"
"Z59613","IsotConj(X27884)"
"Z59614","IsotConj(X27885)"
"Z59615","IsotConj(X27886)"
"Z59616","IsotConj(X27887)"
"Z59617","IsotConj(X27888)"
"Z59618","IsotConj(X27889)"
"Z59619","IsotConj(X27890)"
"Z59620","IsotConj(X27891)"
"Z59621","IsotConj(X27892)"
"Z59622","IsotConj(X27893)"
"Z59623","IsotConj(X27894)"
"Z59624","IsotConj(X27895)"
"Z59625","IsotConj(X27896)"
"Z59626","IsotConj(X27897)"
"Z59627","IsotConj(X27898)"
"Z59628","IsotConj(X27899)"
"Z59629","IsotConj(X27900)"
"Z59630","IsotConj(X27901)"
"Z59631","IsotConj(X27902)"
"Z59632","IsotConj(X27903)"
"Z59633","IsotConj(X27904)"
"Z59634","IsotConj(X27905)"
"Z59635","IsotConj(X27906)"
"Z59636","IsotConj(X27907)"
"Z59637","IsotConj(X27908)"
"Z59638","IsotConj(X27909)"
"Z59639","IsotConj(X27910)"
"Z59640","IsotConj(X27911)"
"Z59641","IsotConj(X27912)"
"Z59642","IsotConj(X27913)"
"Z59643","IsotConj(X27914)"
"Z59644","IsotConj(X27915)"
"Z59645","IsotConj(X27916)"
"Z59646","IsotConj(X27917)"
"Z59647","IsotConj(X27918)"
"Z59648","IsotConj(X27919)"
"Z59649","IsotConj(X27920)"
"Z59650","IsotConj(X27921)"
"Z59651","IsotConj(X27922)"
"Z59652","IsotConj(X27923)"
"Z59653","IsotConj(X27924)"
"Z59654","IsotConj(X27925)"
"Z59655","IsotConj(X27926)"
"Z59656","IsotConj(X27927)"
"Z59657","IsotConj(X27928)"
"Z59658","IsotConj(X27929)"
"Z59659","IsotConj(X27930)"
"Z59660","IsotConj(X27931)"
"Z59661","IsotConj(X27932)"
"Z59662","IsotConj(X27933)"
"Z59663","IsotConj(X27934)"
"Z59664","IsotConj(X27935)"
"Z59665","IsotConj(X27936)"
"Z59666","IsotConj(X27937)"
"Z59667","IsotConj(X27938)"
"Z59668","IsotConj(X27939)"
"Z59669","IsotConj(X27940)"
"Z59670","IsotConj(X27941)"
"Z59671","IsotConj(X27942)"
"Z59672","IsotConj(X27943)"
"Z59673","IsotConj(X27944)"
"Z59674","IsotConj(X27945)"
"Z59675","IsotConj(X27946)"
"Z59676","IsotConj(X27947)"
"Z59677","IsotConj(X27948)"
"Z59678","IsotConj(X27949)"
"Z59679","IsotConj(X27950)"
"Z59680","IsotConj(X27951)"
"Z59681","IsotConj(X27952)"
"Z59682","IsotConj(X27953)"
"Z59683","IsotConj(X27954)"
"Z59684","IsotConj(X27955)"
"Z59685","IsotConj(X27956)"
"Z59686","IsotConj(X27957)"
"Z59687","IsotConj(X27958)"
"Z59688","IsotConj(X27959)"
"Z59689","IsotConj(X27960)"
"Z59690","IsotConj(X27961)"
"Z59691","IsotConj(X27962)"
"Z59692","IsotConj(X27963)"
"Z59693","IsotConj(X27964)"
"Z59694","IsotConj(X27965)"
"Z59695","IsotConj(X27966)"
"Z59696","IsotConj(X27967)"
"Z59697","IsotConj(X27968)"
"Z59698","IsotConj(X27969)"
"Z59699","IsotConj(X27970)"
"Z59700","IsotConj(X27971)"
"Z59701","IsotConj(X27972)"
"Z59702","IsotConj(X27973)"
"Z59703","IsotConj(X27974)"
"Z59704","IsotConj(X27975)"
"Z59705","IsotConj(X27976)"
"Z59706","IsotConj(X27977)"
"Z59707","IsotConj(X27978)"
"Z59708","IsotConj(X27979)"
"Z59709","IsotConj(X27980)"
"Z59710","IsotConj(X27981)"
"Z59711","IsotConj(X27982)"
"Z59712","IsotConj(X27983)"
"Z59713","IsotConj(X27984)"
"Z59714","IsotConj(X27985)"
"Z59715","IsotConj(X27986)"
"Z59716","IsotConj(X27987)"
"Z59717","IsotConj(X27988)"
"Z59718","IsotConj(X27989)"
"Z59719","IsotConj(X27990)"
"Z59720","IsotConj(X27991)"
"Z59721","IsotConj(X27992)"
"Z59722","IsotConj(X27993)"
"Z59723","IsotConj(X27994)"
"Z59724","IsotConj(X27995)"
"Z59725","IsotConj(X27996)"
"Z59726","IsotConj(X27997)"
"Z59727","IsotConj(X27998)"
"Z59728","IsotConj(X27999)"
"Z59729","IsotConj(X28000)"
"Z59730","IsotConj(X28001)"
"Z59731","IsotConj(X28002)"
"Z59732","IsotConj(X28003)"
"Z59733","IsotConj(X28004)"
"Z59734","IsotConj(X28005)"
"Z59735","IsotConj(X28006)"
"Z59736","IsotConj(X28007)"
"Z59737","IsotConj(X28008)"
"Z59738","IsotConj(X28009)"
"Z59739","IsotConj(X28010)"
"Z59740","IsotConj(X28011)"
"Z59741","IsotConj(X28012)"
"Z59742","IsotConj(X28013)"
"Z59743","IsotConj(X28014)"
"Z59744","IsotConj(X28015)"
"Z59745","IsotConj(X28016)"
"Z59746","IsotConj(X28017)"
"Z59747","IsotConj(X28018)"
"Z59748","IsotConj(X28019)"
"Z59749","IsotConj(X28020)"
"Z59750","IsotConj(X28021)"
"Z59751","IsotConj(X28022)"
"Z59752","IsotConj(X28023)"
"Z59753","IsotConj(X28024)"
"Z59754","IsotConj(X28025)"
"Z59755","IsotConj(X28026)"
"Z59756","IsotConj(X28027)"
"Z59757","IsotConj(X28028)"
"Z59758","IsotConj(X28029)"
"Z59759","IsotConj(X28030)"
"Z59760","IsotConj(X28031)"
"Z59761","IsotConj(X28032)"
"Z59762","IsotConj(X28033)"
"Z59763","IsotConj(X28034)"
"Z59764","IsotConj(X28035)"
"Z59765","IsotConj(X28036)"
"Z59766","IsotConj(X28037)"
"Z59767","IsotConj(X28038)"
"Z59768","IsotConj(X28039)"
"Z59769","IsotConj(X28040)"
"Z59770","IsotConj(X28041)"
"Z59771","IsotConj(X28042)"
"Z59772","IsotConj(X28043)"
"Z59773","IsotConj(X28044)"
"Z59774","IsotConj(X28045)"
"Z59775","IsotConj(X28046)"
"Z59776","IsotConj(X28047)"
"Z59777","IsotConj(X28048)"
"Z59778","IsotConj(X28049)"
"Z59779","IsotConj(X28050)"
"Z59780","IsotConj(X28051)"
"Z59781","IsotConj(X28052)"
"Z59782","IsotConj(X28053)"
"Z59783","IsotConj(X28054)"
"Z59784","IsotConj(X28055)"
"Z59785","IsotConj(X28056)"
"Z59786","IsotConj(X28057)"
"Z59787","IsotConj(X28058)"
"Z59788","IsotConj(X28059)"
"Z59789","IsotConj(X28060)"
"Z59790","IsotConj(X28061)"
"Z59791","IsotConj(X28062)"
"Z59792","IsotConj(X28063)"
"Z59793","IsotConj(X28064)"
"Z59794","IsotConj(X28065)"
"Z59795","IsotConj(X28066)"
"Z59796","IsotConj(X28067)"
"Z59797","IsotConj(X28068)"
"Z59798","IsotConj(X28069)"
"Z59799","IsotConj(X28070)"
"Z59800","IsotConj(X28071)"
"Z59801","IsotConj(X28072)"
"Z59802","IsotConj(X28073)"
"Z59803","IsotConj(X28074)"
"Z59804","IsotConj(X28075)"
"Z59805","IsotConj(X28076)"
"Z59806","IsotConj(X28077)"
"Z59807","IsotConj(X28078)"
"Z59808","IsotConj(X28079)"
"Z59809","IsotConj(X28080)"
"Z59810","IsotConj(X28081)"
"Z59811","IsotConj(X28082)"
"Z59812","IsotConj(X28083)"
"Z59813","IsotConj(X28084)"
"Z59814","IsotConj(X28085)"
"Z59815","IsotConj(X28086)"
"Z59816","IsotConj(X28087)"
"Z59817","IsotConj(X28088)"
"Z59818","IsotConj(X28089)"
"Z59819","IsotConj(X28090)"
"Z59820","IsotConj(X28091)"
"Z59821","IsotConj(X28092)"
"Z59822","IsotConj(X28093)"
"Z59823","IsotConj(X28094)"
"Z59824","IsotConj(X28095)"
"Z59825","IsotConj(X28096)"
"Z59826","IsotConj(X28097)"
"Z59827","IsotConj(X28098)"
"Z59828","IsotConj(X28099)"
"Z59829","IsotConj(X28100)"
"Z59830","IsotConj(X28101)"
"Z59831","IsotConj(X28102)"
"Z59832","IsotConj(X28103)"
"Z59833","IsotConj(X28104)"
"Z59834","IsotConj(X28105)"
"Z59835","IsotConj(X28106)"
"Z59836","IsotConj(X28107)"
"Z59837","IsotConj(X28108)"
"Z59838","IsotConj(X28109)"
"Z59839","IsotConj(X28110)"
"Z59840","IsotConj(X28111)"
"Z59841","IsotConj(X28112)"
"Z59842","IsotConj(X28113)"
"Z59843","IsotConj(X28114)"
"Z59844","IsotConj(X28115)"
"Z59845","IsotConj(X28116)"
"Z59846","IsotConj(X28117)"
"Z59847","IsotConj(X28118)"
"Z59848","IsotConj(X28119)"
"Z59849","IsotConj(X28120)"
"Z59850","IsotConj(X28121)"
"Z59851","IsotConj(X28122)"
"Z59852","IsotConj(X28123)"
"Z59853","IsotConj(X28124)"
"Z59854","IsotConj(X28125)"
"Z59855","IsotConj(X28126)"
"Z59856","IsotConj(X28127)"
"Z59857","IsotConj(X28128)"
"Z59858","IsotConj(X28129)"
"Z59859","IsotConj(X28130)"
"Z59860","IsotConj(X28131)"
"Z59861","IsotConj(X28132)"
"Z59862","IsotConj(X28133)"
"Z59863","IsotConj(X28134)"
"Z59864","IsotConj(X28135)"
"Z59865","IsotConj(X28136)"
"Z59866","IsotConj(X28137)"
"Z59867","IsotConj(X28138)"
"Z59868","IsotConj(X28139)"
"Z59869","IsotConj(X28140)"
"Z59870","IsotConj(X28141)"
"Z59871","IsotConj(X28142)"
"Z59872","IsotConj(X28143)"
"Z59873","IsotConj(X28144)"
"Z59874","IsotConj(X28145)"
"Z59875","IsotConj(X28146)"
"Z59876","IsotConj(X28148)"
"Z59877","IsotConj(X28149)"
"Z59878","IsotConj(X28150)"
"Z59879","IsotConj(X28151)"
"Z59880","IsotConj(X28152)"
"Z59881","IsotConj(X28153)"
"Z59882","IsotConj(X28154)"
"Z59883","IsotConj(X28155)"
"Z59884","IsotConj(X28156)"
"Z59885","IsotConj(X28157)"
"Z59886","IsotConj(X28158)"
"Z59887","IsotConj(X28159)"
"Z59888","IsotConj(X28160)"
"Z59889","IsotConj(X28162)"
"Z59890","IsotConj(X28163)"
"Z59891","IsotConj(X28164)"
"Z59892","IsotConj(X28165)"
"Z59893","IsotConj(X28166)"
"Z59894","IsotConj(X28167)"
"Z59895","IsotConj(X28168)"
"Z59896","IsotConj(X28169)"
"Z59897","IsotConj(X28170)"
"Z59898","IsotConj(X28171)"
"Z59899","IsotConj(X28172)"
"Z59900","IsotConj(X28173)"
"Z59901","IsotConj(X28174)"
"Z59902","IsotConj(X28175)"
"Z59903","IsotConj(X28176)"
"Z59904","IsotConj(X28177)"
"Z59905","IsotConj(X28178)"
"Z59906","IsotConj(X28179)"
"Z59907","IsotConj(X28180)"
"Z59908","IsotConj(X28181)"
"Z59909","IsotConj(X28182)"
"Z59910","IsotConj(X28183)"
"Z59911","IsotConj(X28184)"
"Z59912","IsotConj(X28185)"
"Z59913","IsotConj(X28186)"
"Z59914","IsotConj(X28187)"
"Z59915","IsotConj(X28188)"
"Z59916","IsotConj(X28189)"
"Z59917","IsotConj(X28190)"
"Z59918","IsotConj(X28191)"
"Z59919","IsotConj(X28192)"
"Z59920","IsotConj(X28193)"
"Z59921","IsotConj(X28194)"
"Z59922","IsotConj(X28195)"
"Z59923","IsotConj(X28196)"
"Z59924","IsotConj(X28197)"
"Z59925","IsotConj(X28198)"
"Z59926","IsotConj(X28199)"
"Z59927","IsotConj(X28200)"
"Z59928","IsotConj(X28201)"
"Z59929","IsotConj(X28202)"
"Z59930","IsotConj(X28203)"
"Z59931","IsotConj(X28204)"
"Z59932","IsotConj(X28205)"
"Z59933","IsotConj(X28206)"
"Z59934","IsotConj(X28207)"
"Z59935","IsotConj(X28208)"
"Z59936","IsotConj(X28209)"
"Z59937","IsotConj(X28210)"
"Z59938","IsotConj(X28211)"
"Z59939","IsotConj(X28212)"
"Z59940","IsotConj(X28213)"
"Z59941","IsotConj(X28214)"
"Z59942","IsotConj(X28215)"
"Z59943","IsotConj(X28216)"
"Z59944","IsotConj(X28217)"
"Z59945","IsotConj(X28218)"
"Z59946","IsotConj(X28219)"
"Z59947","IsotConj(X28220)"
"Z59948","IsotConj(X28221)"
"Z59949","IsotConj(X28222)"
"Z59950","IsotConj(X28223)"
"Z59951","IsotConj(X28224)"
"Z59952","IsotConj(X28225)"
"Z59953","IsotConj(X28226)"
"Z59954","IsotConj(X28227)"
"Z59955","IsotConj(X28228)"
"Z59956","IsotConj(X28229)"
"Z59957","IsotConj(X28230)"
"Z59958","IsotConj(X28231)"
"Z59959","IsotConj(X28232)"
"Z59960","IsotConj(X28233)"
"Z59961","IsotConj(X28234)"
"Z59962","IsotConj(X28235)"
"Z59963","IsotConj(X28236)"
"Z59964","IsotConj(X28237)"
"Z59965","IsotConj(X28238)"
"Z59966","IsotConj(X28239)"
"Z59967","IsotConj(X28240)"
"Z59968","IsotConj(X28241)"
"Z59969","IsotConj(X28242)"
"Z59970","IsotConj(X28243)"
"Z59971","IsotConj(X28244)"
"Z59972","IsotConj(X28245)"
"Z59973","IsotConj(X28246)"
"Z59974","IsotConj(X28247)"
"Z59975","IsotConj(X28248)"
"Z59976","IsotConj(X28249)"
"Z59977","IsotConj(X28250)"
"Z59978","IsotConj(X28251)"
"Z59979","IsotConj(X28252)"
"Z59980","IsotConj(X28253)"
"Z59981","IsotConj(X28254)"
"Z59982","IsotConj(X28255)"
"Z59983","IsotConj(X28256)"
"Z59984","IsotConj(X28257)"
"Z59985","IsotConj(X28258)"
"Z59986","IsotConj(X28259)"
"Z59987","IsotConj(X28260)"
"Z59988","IsotConj(X28261)"
"Z59989","IsotConj(X28262)"
"Z59990","IsotConj(X28263)"
"Z59991","IsotConj(X28264)"
"Z59992","IsotConj(X28265)"
"Z59993","IsotConj(X28266)"
"Z59994","IsotConj(X28267)"
"Z59995","IsotConj(X28268)"
"Z59996","IsotConj(X28269)"
"Z59997","IsotConj(X28270)"
"Z59998","IsotConj(X28271)"
"Z59999","IsotConj(X28272)"
"Z60000","IsotConj(X28273)"
"Z60001","IsotConj(X28274)"
"Z60002","IsotConj(X28275)"
"Z60003","IsotConj(X28276)"
"Z60004","IsotConj(X28277)"
"Z60005","IsotConj(X28278)"
"Z60006","IsotConj(X28279)"
"Z60007","IsotConj(X28280)"
"Z60008","IsotConj(X28281)"
"Z60009","IsotConj(X28282)"
"Z60010","IsotConj(X28283)"
"Z60011","IsotConj(X28284)"
"Z60012","IsotConj(X28285)"
"Z60013","IsotConj(X28286)"
"Z60014","IsotConj(X28287)"
"Z60015","IsotConj(X28288)"
"Z60016","IsotConj(X28289)"
"Z60017","IsotConj(X28290)"
"Z60018","IsotConj(X28291)"
"Z60019","IsotConj(X28292)"
"Z60020","IsotConj(X28293)"
"Z60021","IsotConj(X28294)"
"Z60022","IsotConj(X28295)"
"Z60023","IsotConj(X28296)"
"Z60024","IsotConj(X28297)"
"Z60025","IsotConj(X28298)"
"Z60026","IsotConj(X28299)"
"Z60027","IsotConj(X28300)"
"Z60028","IsotConj(X28301)"
"Z60029","IsotConj(X28302)"
"Z60030","IsotConj(X28303)"
"Z60031","IsotConj(X28304)"
"Z60032","IsotConj(X28305)"
"Z60033","IsotConj(X28306)"
"Z60034","IsotConj(X28307)"
"Z60035","IsotConj(X28308)"
"Z60036","IsotConj(X28309)"
"Z60037","IsotConj(X28310)"
"Z60038","IsotConj(X28311)"
"Z60039","IsotConj(X28312)"
"Z60040","IsotConj(X28313)"
"Z60041","IsotConj(X28314)"
"Z60042","IsotConj(X28315)"
"Z60043","IsotConj(X28316)"
"Z60044","IsotConj(X28317)"
"Z60045","IsotConj(X28318)"
"Z60046","IsotConj(X28319)"
"Z60047","IsotConj(X28320)"
"Z60048","IsotConj(X28321)"
"Z60049","IsotConj(X28322)"
"Z60050","IsotConj(X28323)"
"Z60051","IsotConj(X28324)"
"Z60052","IsotConj(X28325)"
"Z60053","IsotConj(X28326)"
"Z60054","IsotConj(X28327)"
"Z60055","IsotConj(X28328)"
"Z60056","IsotConj(X28329)"
"Z60057","IsotConj(X28330)"
"Z60058","IsotConj(X28331)"
"Z60059","IsotConj(X28332)"
"Z60060","IsotConj(X28333)"
"Z60061","IsotConj(X28334)"
"Z60062","IsotConj(X28335)"
"Z60063","IsotConj(X28336)"
"Z60064","IsotConj(X28337)"
"Z60065","IsotConj(X28338)"
"Z60066","IsotConj(X28339)"
"Z60067","IsotConj(X28340)"
"Z60068","IsotConj(X28341)"
"Z60069","IsotConj(X28342)"
"Z60070","IsotConj(X28343)"
"Z60071","IsotConj(X28344)"
"Z60072","IsotConj(X28345)"
"Z60073","IsotConj(X28346)"
"Z60074","IsotConj(X28347)"
"Z60075","IsotConj(X28348)"
"Z60076","IsotConj(X28349)"
"Z60077","IsotConj(X28350)"
"Z60078","IsotConj(X28351)"
"Z60079","IsotConj(X28352)"
"Z60080","IsotConj(X28353)"
"Z60081","IsotConj(X28354)"
"Z60082","IsotConj(X28355)"
"Z60083","IsotConj(X28356)"
"Z60084","IsotConj(X28357)"
"Z60085","IsotConj(X28358)"
